membership create success,Membership Created Successfully,Участник успешно добавлен,Учасника успішно додано
membership delete success,Membership Deleted Successfully,Участник исключен,Учасника виключено
membership update success,Membership Updated Successfully,Запись участника успешно обновлена,Запис учасника успішно оновлено
message,Message,Сообщение,Повідомлення
MM,MM,МИН,ХВ
month,This Month Until Today,Этот месяц по сегодняшний день,Цього місяця до сьогодні
multiple,Multiple,Несколько,Декілька
must be unique,Must Be Unique,Должно быть уникальным,Повинно бути унікальним
my efforts,My Efforts,Мои статистики,Мої статистики
my projects,My Projects,Мои проекты,Мої проекти
my reports,My Reports,Мои отчеты,Мої звіти
name,Name,Имя,Назва
new password,New Password,Новый пароль,Новий пароль
new profile,New Profile,Новый пользователь,Новий користувач
not a json,Not a valid JSON,Невалидный JSON,Не є валідним JSON
not member,Not a Member,Не является участником,Не є учасником
OK,OK,Ок,ОК
operator,Operator,Оператор,Оператор
partitions,Partitions,Разделы,Розділи
password,Password,Пароль,Пароль 
period forever,Forever,За все время,За весь час
period lastmonth,Last Month,Прошлый месяц,Минулого місяця
period month,Month,Этот месяц по сегодняшний день,Цього місяця до сьогодні
period today,Today,Сегодня,Сьогодні
period week,Week,За эту неделю по сегодня,Цього тижня по сьогодні
period year,Year,Этот год по сегодня,Цього року по сьогодні
period:day short,D,день,день
period:week short,W,нед.,тижд.
period:month short,M,мес.,міс.
preference create success,Preference Created Successfully,Настройка добавлена,Додано налаштування
preference delete success,Preference Deleted Successfully,Настройка удалена,Налаштування видалено
preference update error,Preference Could Not Be Updated,Настройка не обновлена: задано неверное значение,Налаштування не оновлено: задано невірне значення
preference update success,Preference Updated Successfully,Настройка обновлена,Налаштуванния оновлено
profile,Profile,Профиль пользователя,Профіль користувача
profile delete,Delete Profile,Удаление проекта,Видалення проекту
profile delete success,Profile Deleted,Профиль пользователя удален,Профіль користувача видалено
profile delete success message,Project Deleted Successfully,Профиль пользователя успешно удален,Профіль користувача успішно видалено
profile details,Profile Details,Детали,Деталі
profile name,Profile Name,Имя,Iм'я
profile password set,Change Password,Изменить пароль,Змінити пароль
profile password set success,Password Changed Successfully,Пароль изменен успешно,Пароль змінений успішно
profile preferences,Profile Preferences,Настройки,Налаштування
profile remove permanently success,Profile Removed,Профиль пользователя стерт,Профіль користувача стерто
profile remove permanently success message,Profile Removed Permamently,Профиль пользователя полностью стерт,Профіль користувача повністю стерто
profile submit success,Profile Submitted Successfully,Профиль пользователя успешно сохранен,Профіль користувача успішно збережено
project,Project,Проект,Проект
project_id,Project,Проект,Проект
project components,Project Components,Компоненты проекта,Компоненти проекту
project delete,Delete A Project,Удалить проект,Видалити проект
project delete success,Project Deleted,Проект удален,Проект видалено
project delete success message,Project Deleted Successfully,Проект успешно удален,Проект успішно видалено
project labels,Project Labels,Метки проекта,Мітки проекту
project members,Project Members,Участники проекта,Учасники проекту
project remove permanently success,Project Removed,Проект стерт,Проект стерто
project remove permanently success message,Project Removed Permanently,Проект полностью стерт,Проект повністю стерто
project submit success,Project Submitted,Проект сохранен,Проект збережено
projects,Projects,Проекты,Проекти
remove,Remove,Стереть,Стерти
report delete,Delete A Report,Удалить отчет,Видалити звіт
report delete success,Report Deleted,Отчет удален,Звіт видалено
report delete success message,Report Deleted Successfully,Отчет успешно удален,Звіт успішно видалено
report remove permanently success,Report Removed,Отчет стерт,Звіт стерто
report remove permanently success message,Report Removed Permanently,Отчет полностью стерт,Звіт повністю стерто
report submit,Submit A Report,Новый отчет,Новий звіт
report submit success,Report Submitted,Отчет сохранен,Звіт збережено
report submit success message,Report Submitted Successfully,Сообщить успешно послано,Повідомити успішно послано
report time format,Reports Time Format,Формат времени отчета,Формат часу звіту
reports,Reports,Отчеты ,Звіти
required,Field is Required,Обязательное поле,Обов'язкове поле
role,Role,Роль ,Роль
role_id,Role,Роль ,Роль
save,Save,Сохранить,Зберегти
scope,Scope,Раздел,Розділ
search projects,Search Projects,Поиск по проектам,Пошук по проектам
see details,See Details,Детали,Деталі
select project,Project,Проект,Проект
set language,Choose Language,Язык отображения,Мова
set language prompt,Choose a Display Language For the System,Выберите язык отображения в системе,Виберіть мову відображення в системі
set password,Set Password,Установка пароля,Встановлення пароля
show,Show,Показать,Показати
show chinese cookie,Chinese Fortune Cookies,Китайское печенье с предсказаниями,Китайське печиво з побажаннями
show deleted reports,Show Deleted Reports,Показывать удаленные отчеты,Показувати видалені звіти
show filters,Show filters,Показать фильтры,Показати фільтри
sign in,Sign In,Вход,Вхід
sign out,Sign Out,Выход,Вихід
signin success,You were signed in,Вход выполнен,Вас було авторизовано
signout success,You were signed out,Выход выполнен,Ви вийшли з системи
specify role,Specify Role,Укажите роль,Вкажіть роль
status,Status,Статус,Статус 
subject,Subject,Описание,Опис
submit,Submit,Отправить,Відправити
submit report,Submit a Report,Отправить отчет,Відправити звіт
summary,Summary,Сводка,Сводка
sure?,Are you sure?,Вы уверены? ,Ви впевнені?
tasks,Tasks,Задачи,Задачі
time:hours short,hrs,ч,ч
time format,Time Format,Формат времени,Формат часу
title,Title,Название,Заголовок
today,Today,Сегодня,Сьогодні
toggle selection,Toggle Selection,Выделить,Відмітити
total,Total,Сумма,Усього
total for period,Total for a Period,Всего за период,Всього за період
translation,Translation,Перевод ,Переклад
translation submit success,Translation Submitted Successfully,Перевод успешно сохранен,Переклад успішно збережено
translations,Translations,Переводы,Переклади
using multiple dates,Multi-Date Calendar Enabled,Включен календарь с выбором N-дней,Увімкнено календар з вибором N-днів
using single date,Single-Date Calendar Enabled,Включен календарь с выбором 1 дня,Увімкнено календар з вибором 1 дня
value,Value,Значение ,Значення
variable,Variable,Настройка,Налаштування
variable submit success,Variable Submitted Successfully,Настройка успешно сохранена,Налаштування успішно збережено
variables,Variables,Настройки,Налаштування
view,View,Просмотреть,Перегляд
view profile,View Profile,Просмотр профиля пользователя,Перегляд профілю користувача
week,This Week Until Today,За эту неделю по сегодня,Цього тижня по сьогодні
weekend,Weekend,Выходной день,Вихідний день
XMPP login,Jabber (Pidgin) login or email,Логин Jabber (Pidgin) или эл.почта,Логін Jabber (Pidgin) або ел.пошта
year,This Year Unil Today,Этот год по сегодня,Цього року по сьогодні
